index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
563,560,517,University of Stirling,United Kingdom,Europe,M,CO,VH,Public,17.4,686,13.9,701+,15,801+,31,573,82.7,283,61.9,346,56.7,789,26.8,625,83.8,166=,29.4
564,560,,Zhejiang University of Technology,China (Mainland),Asia,L,CO,VH,Public,9.5,701+,20.1,666,15.3,801+,84.8,129,16.1,801+,11.2,801+,49.7,801+,8,801+,39.7,801+,29.4
565,565,688,Baku State University,Azerbaijan,Asia,L,CO,HI,Public,25.7,476,33.2,415,96,77,1.6,801+,20,739,11.3,801+,16.1,801+,63.9,252,46.3,801+,29.3
566,565,587,Université Paul Sabatier Toulouse III,France,Europe,L,CO,VH,Public,24,517,6.1,701+,35.4,553,45.8,411,5.9,801+,31,593,98.7,18,9.9,801+,48.5,801+,29.3
567,567,566,Bangor University,United Kingdom,Europe,M,FC,VH,Public,12.3,701+,8.5,701+,21.2,801+,43.3,436,49.1,477,66.4,317,71.6,544,23.3,709,82.8,183=,29.2
568,567,648,King Faisal University,Saudi Arabia,Asia,L,FC,VH,Public,24.8,496,33.8,408,27,692,8.4,801+,100,84,10.7,801+,77.6,424,14.7,801+,65.9,483=,29.2
569,567,575,Universität Jena,Germany,Europe,L,FC,VH,Public,22.7,549,10,701+,99.9,27,15.2,801+,,,31.9,588,91.1,166,6.8,801+,50.5,801+,29.2
570,570,563,Ajou University,Republic of Korea,Asia,M,FC,VH,Private not for Profit,16.3,701+,22.3,623,71.4,207,31.3,569,12.6,801+,69.4,298,20.6,801+,7.3,801+,63,552=,29.1
571,570,571,Hacettepe University,Türkiye,Asia,L,FC,VH,Public,31.2,395,54.4,214,21.4,801+,9.8,801+,3.2,801+,5.7,801+,72.2,532,27.1,617,64.4,520=,29.1
572,572,650,Paris Lodron University of Salzburg,Austria,Europe,M,CO,VH,Public,14.2,701+,9.5,701+,49.2,392,9.5,801+,98.9,134,97.2,116,55.7,801+,33.3,528,68.4,427=,29
573,572,566,University of Minho,Portugal,Europe,L,FC,VH,Public,24.9,494,13.7,701+,27.3,685,35.9,519,15.9,801+,22.7,696,83.4,302,16.7,801+,75.8,281=,29
574,572,607,University of Siena,Italy,Europe,M,FC,VH,Public,24.1,514,10.6,701+,15.9,801+,56.5,306,4,801+,20.2,733,59.2,757,15.2,801+,70.6,389=,29
575,575,668,"Birla Institute of Technology and Science, Pilani",India,Asia,L,FO,VH,Private not for Profit,17.7,673,38.7,352,12.3,801+,45,420,2.5,801+,4.1,801+,42.3,801+,59.3,285,66,482,28.9
576,575,571,Colorado School of Mines,United States of America,Americas,M,FO,VH,Public,12,701+,26.7,527,16.4,801+,64.5,249,27.3,633,8.9,801+,31.6,801+,38.3,472,52.6,801+,28.9
577,575,553,Hitotsubashi University,Japan,Asia,M,CO,HI,Public,18.3,654,70.8,134,38.1,529,2.8,801+,29.7,603,32.5,582,13.3,801+,75.8,188,41.4,801+,28.9
578,575,546,Ulm University,Germany,Europe,M,CO,VH,Public,10.4,701+,9.1,701+,78.8,175,40,475,55,430,28.7,616,67.7,619,4.9,801+,38,801+,28.9
579,575,553,University of Delaware,United States of America,Americas,L,CO,VH,Public,12.5,701+,10.5,701+,7.5,801+,59.9,278,51.5,459,19.5,744,70.1,570,27.1,618,71.7,360=,28.9
580,575,526,University of Hull,United Kingdom,Europe,L,FC,HI,Public,11.4,701+,8.7,701+,12.4,801+,34.6,532,66.1,372,90.8,172,75.3,475,31.4,563,81,211=,28.9
581,581,511,Ateneo de Manila University,Philippines,Asia,L,FC,MD,Private not for Profit,27.7,448,58.6,191,30.2,638,2.9,801+,2.9,801+,3.5,801+,27.8,801+,83.9,142,67.4,450=,28.8
582,581,558,Coventry University,United Kingdom,Europe,L,CO,VH,Public,14.3,701+,20.4,662,20.3,801+,13.9,801+,76.9,317,99.7,70,83.1,311,16,801+,81,211=,28.8
583,581,701-710,"Lingnan University, Hong Kong","Hong Kong SAR, China",Asia,S,CO,VH,Public,18.7,637,17.7,701+,22.7,783,25.7,658,100,34,99.4,76,12,801+,13.1,801+,61.8,578,28.8
584,581,695,Rensselaer Polytechnic Institute,United States of America,Americas,M,CO,VH,Private not for Profit,10,701+,21.8,633,24.3,748,43,440,94.1,202,37.5,528,25.4,801+,53,343,43.5,801+,28.8
585,581,530,Universität Bremen,Germany,Europe,L,CO,VH,Public,24.4,510,10.9,701+,12.3,801+,36.1,518,56.7,420,45.1,459,84.7,273,9,801+,56.4,716=,28.8
